,dialogue
536,"Hopefully, you'll never have to experience this yourself, but when two men are in a situation like me and your Daddy were, for as long as we were, you take on certain responsibilities of the other. If it had been me who had not made it, Major Coolidge would be talkin' right now to my son Jim. But the way it worked out is I'm talkin' to you, Butch. I got somethin' for ya."
537,"This watch I got here was first purchased by your great-granddaddy. It was bought during the First World War in a little general store in Knoxville, Tennessee. It was bought by private Doughboy Ernie Coolidge the day he set sail for Paris. It was your great-granddaddy's war watch, made by the first company to ever make wrist watches. You see, up until then, people just carried pocket watches. Your great-granddaddy wore that watch every day he was in the war. Then when he had done his duty, he went home to your great- grandmother, took the watch off his wrist and put it in an ol' coffee can. And in that can it stayed 'til your grandfather Dane Coolidge was called upon by his country to go overseas and fight the Germans once again. This time they called it World War Two. Your great-granddaddy gave it to your granddad for good luck."
538,"Unfortunately, Dane's luck wasn't as good as his old man's. Your granddad was a"
539,"Marine and he was killed with all the other Marines at the battle of Wake Island. Your granddad was facing death and he knew it. None of those boys had any illusions about ever leavin' that island alive. So three days before the Japanese took the island, your 22-year old grandfather asked a gunner on an Air Force transport named Winocki, a man he had never met before in his life, to deliver to his infant son, who he had never seen in the flesh, his gold watch. Three days later, your grandfather was dead. But Winocki kept his word. After the war was over, he paid a visit to your grandmother, delivering to your infant father, his Dad's gold watch. This watch. This watch was on your Daddy's wrist when he was shot down over Hanoi. He was captured and put in a Vietnamese prison camp. Now he knew if the gooks ever saw the watch it's be confiscated. The way your Daddy looked at it, that watch was your birthright. And he'd be damned if and slopeheads were gonna put their greasy yella hands on his boy's birthright. So he hid it in the one place he knew he could hide somethin'. His ass. Five long years, he wore this watch up his ass. Then when he died of disentary, he gave me the watch. I hid with uncomfortable hunk of metal up my ass for two years. Then, after seven years, I was sent home to my family. And now, little man, I give the watch to you."
540,"It's time, Butch."
541,I'm ready.
542,"– Well Dan, that had to be the bloodiest and, hands-down, the most brutal fight this city has ever seen."
543,... Coolidge was out of there faster than I've ever seen a victorious boxer vacate the ring. Do you think he knew Willis was dead?
544,"My guess would be yes, Richard. I could see from my position here, the frenzy in his eyes give way to the realization of what he was doing. I think any man would've left the ring that fast."
545,Do you feel this ring death tragedy will have an effect on the world of boxing?
546,"Oh Dan, a tragedy like this can't help but shake the world of boxing to its very foundation. But it's of paramount importance that during the sad weeks ahead, the eyes of the W.B.A. remain firmly fixed on the – CLICK –"
547,Are you the man I was supposed to pick up?
548,"If you're the cab I called, I'm the guy you're supposed to pick up."
549,Where to?
550,Outta here.
551,Mia. How you doin'?
552,Great. I never thanked you for the dinner.
553,What'cha got?
554,He booked.
555,"I'm prepared to scour the earth for this motherfucker. If Butch goes to Indo China, I want a nigger hidin' in a bowl of rice, ready to pop a cap in his ass."
556,I'll take care of it.
557,"Hey, how do I open the window back here?"
558,I have to do it.
559,"Hey, mister?"
560,What?
561,You were in that fight? The fight on the radio – you're the fighter?
562,Whatever gave you that idea?
563,"No c'mon, you're him, I know you're him, tell me you're him."
564,(drying himself with a gym towel) I'm him.
565,You killed the other boxing man.
566,He's dead?
567,The radio said he was dead.
568,"(to himself) Sorry 'bout that, Floyd."
569,What does it feel like?
570,(finds his shirt) What does what feel like?
571,Killing a man. Beating another man to death with your bare hands.
572,Are you some kinda weirdo?
573,"No, it's a subject I have much interest in. You are the first person I ever met who has killed somebody. So, what was it like to kill a man?"
574,"Tell ya what, you give me one of them cigarettes, I'll give you an answer."
575,Deal!
576,So...
577,... Esmarelda Villalobos – is that Mexican?
578,"The name is Spanish, but I'm Columbian."
579,It's a very pretty name.
580,"It mean ""Esmarelda of the wolves."""
581,"That's one hell of a name you got there, sister."
582,Thank you. And what is your name?
583,Butch.
584,Butch. What does it mean?
585,"I'm an American, our names don't mean shit. Anyway, moving right along, what is it you wanna know, Esmarelda?"
586,I want to know what it feels like to kill a man –
587,"– I couldn't tell ya. I didn't know he was dead 'til you told me he was dead. Now I know he's dead, do you wanna know how I feel about it?"
588,I don't feel the least little bit bad.
589,"What's I tell ya, soon as the word got out a fix was in, the odds would be outta control. Hey, if he was a better fighter he's be alive. If he never laced up his gloves in the first place, which he never shoulda done, he'd be alive. Enough about the poor unfortunate Mr. Floyd, let's talk about the rich and prosperous Mr. Butch."
590,How many bookies you spread it around with?
591,"So by tomorrow evening, you'll have it all?"
592,"Good news Scotty, real good news – I understand a few stragglers aside. Me an' Fabienne're gonna leave in the morning. It should take us a couple days to get into Knoxville. Next time we see each other, it'll be on Tennessee time."
593,"Fabienne my love, our adventure begins."
594,Forty-five sixty.
595,Merci beaucoup. And here's a little something for the effort.
596,"Now if anybody should ask you about who your fare was tonight, what're you gonna tell 'em?"
597,"The truth. Three well-dressed, slightly toasted, Mexicans."
598,"Bon soir, Esmarelda."
599,"(in Spanish) Sleep well, Butch."
600,Keep the light off.
601,"Is that better, sugar pop?"
602,Oui. Hard day at the office?
603,Pretty hard. I got into a fight.
604,Poor baby. Can we make spoons?
605,I was looking at myself in the mirror.
606,Uh-huh?
607,I wish I had a pot.
608,You were lookin' in the mirror and you wish you had some pot?
609,A pot. A pot belly. Pot bellies are sexy.
610,"Well you should be happy, 'cause you do."
611,"Shut up, Fatso! I don't have a pot! I have a bit of a tummy, like Madonna when she did ""Lucky Star,"" it's not the same thing."
612,I didn't realize there was a difference between a tummy and a pot belly.
613,The difference is huge.
614,You want me to have a pot?
615,"No. Pot bellies make a man look either oafish, or like a gorilla. But on a woman, a pot belly is very sexy. The rest of you is normal. Normal face, normal legs, normal hips, normal ass, but with a big, perfectly round pot belly. If I had one, I'd wear a tee-shirt two sizes too small to accentuate it."
616,You think guys would find that attractive?
617,I don't give a damn what men find attractive. It's unfortunate what we find pleasing to the touch and pleasing to the eye is seldom the same.
618,"If I had a pot belly, I'd punch you in it."
619,You'd punch me in my belly?
620,Right in the belly.
621,I'd smother you. I'd drop it on your right on your face 'til you couldn't breathe.
622,You'd do that to me?
623,Yes!
624,"Did you get everything, sugar pop?"
625,"Yes, I did. Good job."
626,Did everything go as planned?
627,You didn't listen to the radio?
628,I never listen to your fights. Were you the winner?
629,I won alright.
630,Are you still retiring?
631,Sure am.
632,What about the man you fought?
633,Floyd retired too.
634,Really?! He won't be fighting no more?!
635,Not no more.
636,So it all worked out in the finish?
637,"We ain't at the finish, baby."
638,"We're in a lot of danger, aren't we?"
639,"If they find us, they'll kill us, won't they?"
640,"But they won't find us, will they?"
641,Do you still want me to go with you?
642,I don't want to be a burden or a nuisance
643,"Fabienne, I want you to be with me."
644,Forever?
645,... and ever.
646,Do you love me?
647,Oui.
648,Butch? Will you give me oral pleasure?
649,Will you kiss it?
650,But you first.
651,"Butch my love, the adventure begins."
652,I think I cracked a rib.
653,Giving me oral pleasure?
654,"No retard, from the fight."
655,Don't call me retard.
656,My name is Fabby! My name is Fabby!
657,Shut up fuck head! I hate that Mongoloid voice.
658,"Okay, sorry, sorry, sorry, I take it back! Can I have a towel please, Miss Beautiful Tulip."
659,"Oh I like that, I like being called a tulip. Tulip is much better than Mongoloid."
660,"I didn't call you a Mongoloid, I called you a retard, but I took it back."
661,Merci beaucoup.
662,"Yes, lemon pie."
663,Where are we going to go?
664,"I'm not sure yet. Wherever you want. We're gonna get a lot of money from this. But it ain't gonna be so much, we can live like hogs in the fat house forever. I was thinking we could go somewhere in the South Pacific. The kinda money we'll have'll carry us a long way down there."
665,"So if we wanted, we could live in Bora Bora?"
666,"You betcha. And if after awhile you don't dig Bora Bora, then we can move over to Tahiti or Mexico."
667,But I do not speak Spanish.
668,"You don't speak Bora Boran either. Besides, Mexican is easy: Donde esta el zapataria?"
669,What does that mean?
670,Where's the shoe store?
671,Donde esta el zapataria?
672,Excellent pronunciation. You'll be my little mama ceta in no time.
673,Que hora es?
674,Que hora es?
675,What time is it?
676,What time is it?
677,"Time for bed. Sweet dream, jellybean."
678,Butch.
679,Forget it.
680,Merde! You startled me. Did you have a bad dream?
681,What are you watching?
682,"A motorcycle movie, I'm not sure the name."
683,Are you watchin' it?
684,In a way. Why? Would you like for me to switch it off?
685,Would you please?
686,It's a little too early in the morning for explosions and war.
687,What was it about?
688,"How should I know, you were the one watchin' it."
689,"No, imbecile, what was your dream about?"
690,"Oh, I... don't remember. It's really rare I remember a dream."
691,You just woke up from it.
692,"Fabienne, I'm not lying to you, I don't remember."
693,"Well, let's look at the grumpy man in the morning. I didn't say you were lying, it's just odd you don't remember your dreams. I always remember mine. Did you know you talk in your sleep?"
694,"I don't talk in my sleep, do I talk in my sleep?"
695,You did last night.
696,I don't know. I couldn't understand you.
697,Why don't you get up and we'll get some breakfast at that breakfast place with the pancakes.
698,One more kiss and I'll get up.
699,Satisfied? Yep.
700,"Then get up, lazy bones."
701,What time is it?
702,Almost nine in the morning. What time does our train arrive?
703,Eleven.
704,"I'm gonna order a big plate of blueberry pancakes with maple syrup, eggs over easy, and five sausages."
705,(surprised at her potential appetite) Anything to drink with that?
706,"Oh yes, that looks nice. To drink, a tall glass or orange juice and a black cup of coffee. After that, I'm going to have a slice of pie."
707,Pie for breakfast?
708,"Any time of the day is a good time for pie. Blueberry pie to go with the pancakes. And on top, a thin slice of melted cheese –"
709,– where's my watch?
710,It's there.
711,"No, it's not. It's not here."
712,Have you looked?
713,Yes I've fuckin' looked!!
714,What the fuck do you think I'm doing?! Are you sure you got it?
715,Uhhh... yes... beside the table drawer –
716,– on the little kangaroo.
717,"Yes, it was on your little kangaroo."
718,BUTCH
719,Well it's not here!
720,(on the verge of tears) Well it should be!
721,"Oh it most definitely should be here, but it's not. So where is it?"
722,"Fabienne, that was my father's fuckin' watch. You know what my father went through to git me that watch?... I don't wanna get into it right now... but he went through a lot. Now all this other shit, you coulda set on fire, but I specifically reminded you not to forget my father's watch. Now think, did you get it?"
723,I believe so...
724,"You believe so? You either did, or you didn't, now which one is it?"
725,Then I did.
726,Are you sure?
727,No.
728,(to Fabienne) No! It's not your fault.
729,(he approached her) You left it at the apartment.
730,"If you did leave it at the apartment, it's not your fault. I had you bring a bunch of stuff. I reminded you about it, but I didn't illustrate how personal the watch was to me. If all I gave a fuck about was my watch, I should've told you. You ain't a mind reader."
731,I'm sorry.
732,Don't be. It just means I won't be able to eat breakfast with you.
733,Why does it mean that?
734,Because I'm going back to my apartment to get my watch.
735,Won't the gangsters be looking for you there?
736,"That's what I'm gonna find out. If they are, and I don't think I can handle it, I'll split."
737,"I was so dreadful. I saw your watch, I thought I brought it. I'm so sorry."
738,"Don't feel bad, sugar pop. Nothing you could ever do would make me permanently angry at you."
739,"I love you, remember?"
740,"Now here's some money, order those pancakes and have a great breakfast."
741,Don't go.
742,"I'll be back before you can say, blueberry pie."
743,Blueberry pie.
744,"Well maybe not that fast, but fast. Okay? Okay?"
745,Okay.
746,"Bye-bye, sugar pop."
747,Bye.
748,I'm gonna take your Honda.
749,Okay.
750,"Of all the fuckin' things she coulda forgot, she forgets my father's watch. I specifically reminded her not to forget it. ""Bedside table – on the kangaroo."" I said the words: ""Don't forget my father's watch."""
751,(softly) Holy shit.
752,"That's how you're gonna beat 'em, Butch. They keep underestimatin' ya."
753,"Jesus, are you okay?"
754,I guess.
755,(to the others) He's dead! He's dead!
756,"If you need a witness in court, I'll be glad to help. He was a drunken maniac. He hit you and crashed into that car."
757,"Well, I'll be damned."
758,Sacre bleu.
759,"Oh my God, I've been shot!"
760,Can I help you wit' somethin'?
761,Shut up!
762,Now you just wait one goddamn minute –
763,"So you like chasing people, huh?"
764,"Well guess what, big man, you caught me –"
765,"– hold it right there, godammit!"
766,"Look mister, this ain't any of your business –"
767,"Now you on top, stand up and come to the counter."
768,Zed? It's Maynard. The spider just caught a coupl'a flies.
769,Nobody kills anybody in my place of business except me or Zed.
770,That's Zed.
771,You said you waited for me?
772,I did.
773,Then how come they're all beat up?
774,They did that to each other. They was fightin' when they came in. This one was gonna shoot that one.
775,You were gonna shoot him?
776,"Hey, is Grace gonna be okay in front of this place?"
777,"Yeah, it ain't Tuesday is it?"
778,"No, it's Thursday."
779,Then she'll be fine.
780,Bring out The Gimp.
781,I think The Gimp's sleepin'.
782,"Well, I guess you'll just wake 'em up then, won't you?"
783,Wake up!
784,Who's first?
785,I ain't fer sure yet.
786,Wanna do it here?
787,"Naw, drag big boy to Russell's old room."
788,Up!
789,Keep an eye on this one.
790,"Whoa, this boy's got a bit of fight in 'em!"
791,"You wanna fight? You wanna fight? Good, I like to fight!"
792,"That's it... that's it boy, you're goin' fine. Oooooooh, just like that... that's good."
793,"Stay still... stay still goddamn ya! Zed goddammit, git over here and hold 'em!"
794,Huhng?
795,Hey hillbilly.
796,"You want that gun, Zed? Pick it up."
797,"Step aside, Butch."
798,You okay?
799,"What now? Well let me tell you what now. I'm gonna call a couple pipe-hittin' niggers, who'll go to work on homes here with a pair of pliers and a blow torch."
800,Hear me talkin' hillbilly boy?! I ain't through with you by a damn sight. I'm gonna git Medieval on your ass.
801,"I meant what now, between me and you?"
802,"Oh, that what now? Well, let me tell ya what now between me an' you. There is no me an' you. Not no more."
803,So we're cool?
804,"Yeah man, we're cool. One thing I ask – two things I ask: Don't tell nobody about this. This shit's between me and you and the soon-to-be-livin'-the-rest-of-his- short-ass-life-in-agonizing-pain, Mr."
805,"Rapist here. It ain't nobody else's business. Two: leave town. Tonight. Right now. And when you're gone, stay gone."
806,You've lost your Los Angeles privileges. Deal?
807,Deal.
808,"Go on now, get your ass outta here."
809,"Hello Mr. Wolf, it's Marsellus. Gotta bit of a situation."
810,"Butch, I was so worried!"
811,"Honey, grab your radio and your purse and let's go!"
812,But what about all our bags?
813,Fuck the bags. We'll miss our train if we don't split now.
814,Is everything well? Are we in danger?
815,"We're cool. In fact, we're super-cool. But we gots to go. I'll wait for you outside."
816,Where did you get this motorcycle?
817,"(he kick-starts it) It's a chopper, baby, hop on."
818,What happened to my Honda?
819,"Sorry baby, I crashed the Honda."
820,You're hurt?
821,"I might've broke my nose, no biggie. Hop on."
822,"Honey, we gotta hit the fuckin' road!"
823,"I'm sorry, baby-love."
824,"You were gone so long, I started to think dreadful thoughts."
825,"I'm sorry I worried you, sweetie. Everything's fine. Hey, how was breakfast?"
826,(waterworks drying a little) It was good –
827,– did you get the blueberry pancakes?
828,"No, they didn't have blueberry pancakes, I had to get buttermilk – are you sure you're okay?"
829,"Baby-love, from the moment I left you, this has been without a doubt the single weirdest day of my entire life. Climb on an' I'll tell ya about it."
830,"Butch, whose motorcycle is this?"
831,It's a chopper.
832,Whose chopper is this?
833,Zed's. Who's Zed?
834,"Zed's dead, baby, Zed's dead."
835,"You ever read the Bible, Brett?"
836,Yes!
837,"There's a passage I got memorized, seems appropriate for this situation: Ezekiel 25:17. ""The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men..."""
838,"""... blessed is he who, in the name of charity and good will, shephered the weak through the valley of darkness. And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers. And you will know I am the Lord when I lay my vengeance upon you."""
839,Friend of yours?
840,"Yeah, Marvin-Vincent-Vincent-Marvin."
841,Die... die... die... die...!
842,I don't understand –
843,Why the fuck didn't you tell us about that guy in the bathroom? Slip your mind?
844,Forget he was in there with a goddamn hand cannon?
845,Did you see that gun he fired at us? It was bigger than him.
846,.357.
847,We should be fuckin' dead!
848,"Yeah, we were lucky."
849,That shit wasn't luck. That shit was somethin' else.
850,"Yeah, maybe."
851,That was... divine intervention. You know what divine intervention is?
852,"Yeah, I think so. That means God came down from Heaven and stopped the bullets."
853,"Yeah, man, that's what is means. That's exactly what it means! God came down from Heaven and stopped the bullets."
854,I think we should be going now.
855,Don't do that! Don't you fuckin' do that! Don't blow this shit off! What just happened was a fuckin' miracle!
856,"Chill the fuck out, Jules, this shit happens."
857,"Wrong, wrong, this shit doesn't just happen."
858,"Do you wanna continue this theological discussion in the car, or at the jailhouse with the cops?"
859,"We should be fuckin' dead now, my friend! We just witnessed a miracle, and I want you to fuckin' acknowledge it!"
860,"Okay man, it was a miracle, can we leave now?"
861,"... Ever seen that show ""COPS?""I was watchin' it once and this cop was on it who was talkin' about this time he got into this gun fight with a guy in a hallway. He unloads on this guy and he doesn't hit anything. And these guys were in a hallway. It's a freak, but it happens."
862,"If you wanna play blind man, then go walk with a Shepherd. But me, my eyes are wide fuckin' open."
863,What the fuck does that mean?
864,"That's it for me. For here on in, you can consider my ass retired."
865,Jesus Christ!
866,Don't blaspheme!
867,"Goddammit, Jules –"
868,I'm tellin' Marsellus today I'm through.
869,"While you're at it, be sure to tell 'im why."
870,"Don't worry, I will."
871,"I'll bet ya ten thousand dollars, he laughs his ass off."
872,I don't give a damn if he does.
873,"Marvin, what do you make of all this?"
874,I don't even have an opinion.
875,"C'mon, Marvin. Do you think God came down from Heaven and stopped the bullets?"
876,What the fuck's happening?
877,I just accidentally shot Marvin in the throat.
878,Why the fuck did you do that?
879,I didn't mean to do it. I said it was an accident.
880,I've seen a lot of crazy-ass shit in my time –
881,"chill out, man, it was an accident, okay? You hit a bump or somethin' and the gun went off."
882,The car didn't hit no motherfuckin' bump!
883,"Look! I didn't mean to shoot this son-of- a-bitch, the gun just went off, don't ask me how!"
884,Look at this mess! We're drivin' around on a city street in broad daylight –
885,"I know, I know, I wasn't thinkin' about the splatter."
886,"Well you better be thinkin' about it now, motherfucker! We gotta get this car off the road. Cops tend to notice shit like you're driving a car drenched in fuckin' blood."
887,Can't we just take it to a friendly place?
888,"This is the Valley,Vincent. Marsellus don't got no friendly places in the Valley."
889,"Well, don't look at me, this is your town, Jules."
890,Who ya callin'?
891,A buddy of mine in Toluca Lake.
892,Where's Toluca Lake.
893,"On the other side of the hill, by Burbank Studios. If Jimmie's ass ain't home, I don't know what the fuck we're gonna go. I ain't got any other partners in 818."
894,"Listen up man, me an' my homeboy are in some serious shit. We're in a car we gotta get off the road, pronto! I need to use your garage for a couple hours."
895,We gotta be real fuckin' delicate with this Jimmie's situation. He's one remark away from kickin' our asses out the door.
896,"If he kicks us out, whadda we do?"
897,"Well, we ain't leavin' 'til we made a couple phone calls. But I never want it to reach that pitch. Jimmie's my friend and you don't bust in your friend's house and start tellin' 'im what's what."
898,Just tell 'im not to be abusive. He kinda freaked out back there when he saw Marvin.
899,"Put yourself in his position. It's eight o'clock in the morning. He just woke up, he wasn't prepared for this shit. Don't forget who's doin' who a favor."
900,"If the price of that favor is I gotta take shit, he can stick his favor straight up his ass."
901,What the fuck did you just do to his towel?
902,VINCENT
903,I was just dryin' my hands.
904,You're supposed to wash 'em first.
905,You watched me wash 'em.
906,I watched you get 'em wet.
907,"I washed 'em. Blood's real hard to get off. Maybe if he had some Lava, I coulda done a better job."
908,"I used the same soap you did and when I dried my hands, the towel didn't look like a fuckin' Maxie pad. Look, fuck it, alright. Who cares? But it's shit like this that's gonna bring this situation to a boil. If he were to come in here and see that towel like that... I'm tellin' you Vincent, you best be cool. 'Cause if I gotta get in to it with Jimmie on account of you... Look, I ain't threatenin' you, I respect you an' all, just don't put me in that position."
909,"Jules, you ask me nice like that, no problem. He's your friend, you handle him."
910,"Goddamn Jimmie, this is some serious gourmet shit. Me an' Vincent woulda been satisfied with freeze-dried Tasters Choice. You spring this gourmet fuckin' shit on us. What flavor is this?"
911,"Knock it off, Julie."
912,What?
913,"I'm not a cobb or corn, so you can stop butterin' me up. I don't need you to tell me how good my coffee is. I'm the one who buys it, I know how fuckin' good it is."
914,"When Bonnie goes shoppin;, she buys shit. I buy the gourmet expensive stuff 'cause when I drink it, I wanna taste it. But what's on my mind at this moment isn't the coffee in my kitchen, it's the dead nigger in my garage."
915,Jimmie –
916,"I'm talkin'. Now let me ask you a question, Jules. When you drove in here, did you notice a sign out front that said, ""Dead nigger storage?"""
917,"answer to question. Did you see a sign out in front of my house that said, ""Dead nigger storage?"""
918,"(playing along) Naw man, I didn't."
919,You know why you didn't see that sign?
920,Why?
921,'Cause storin' dead niggers ain't my fuckin' business!
922,"I ain't through! Now don't you understand that if Bonnie comes home and finds a dead body in her house, I'm gonna get divorced. No marriage counselor, no trial separation – fuckin' divorced. And I don't wanna get fuckin' divorced. The last time me an' Bonnie talked about this shit was gonna be the last time me an' Bonnie talked about this shit. Now I wanna help ya out Julie, I really do. But I ain't gonna lose my wife doin' it."
923,Jimmie –
924,"don't fuckin' Jimmie me, man, I can't be Jimmied. There's nothin' you can say that's gonna make me forget I love my wife. Now she's workin' the graveyard shift at the hospital. She'll be comin' home in less than an hour and a half. Make your phone calls, talk to your people, than get the fuck out of my house."
925,"That's all we want. We don't wanna fuck up your shit,We just need to call our people to bring us in."
926,Then I suggest you get to it. Phone's in my bedroom.
927,"... well, say she comes home. Whaddya think she'll do?"
928,"No fuckin' shit she'll freak. That ain't no kinda answer. You know 'er, I don't. How bad, a lot or a little?"
929,"You got to appreciate what an explosive element this Bonnie situation is. If she comes home from a hard day's work and finds a bunch of gangsters doin' a bunch of gangsta' shit in her kitchen, ain't no tellin' what she's apt to do."
930,"I've grasped that, Jules. All I'm doin' is contemplating the ""ifs."""
931,"I don't wanna hear about no motherfuckin' ""ifs.""What I wanna hear from your ass is: ""you ain't got no problems, Jules. I'm on the motherfucker. Go back in there, chill them niggers out and wait for the cavalry, which should be comin' directly."""
932,"You ain't got no problems, Jules. I'm on the motherfucker. Go back in there, chill them niggers out and wait for The Wolf, who should be comin' directly."
933,You sendin' The Wolf?
934,Feel better?
935,"Shit Negro, that's all you had to say."
936,When she due?
937,Jules...
938,Expect a call around 10:30. It's about thirty minutes away. I'll be there in ten.
939,"You're Jimmie, right? This is your house?"
940,Yeah.
941,"I'm Winston Wolf, I solve problems."
942,"Good, 'cause we got one."
943,So I heard. May I come in?
944,Please do.
945,"You must be Jules, which would make you Vincent. Let's get down to brass tacks, gentlemen. If I was informed correctly, the clock is ticking, is that right, Jimmie?"
946,"Your wife, Bonnie..."
947,"... comes home at 9:30 in the AM, is that correct?"
948,"I was led to believe if she comes home and finds us here, she wouldn't appreciate it none too much."
949,She won't at that.
950,"That give use forty minutes to get the fuck outta Dodge, which, if you do what I say when I say it, should by plenty. Now you got a corpse in a car, minus a head, in a garage. Take me to it."
951,Jimmie? Yes.
952,"Do me a favor, will ya? Thought I smelled some coffee in there. Would you make me a cup?"
953,"Sure, how do you take it?"
954,"Lotsa cream, lotsa sugar."
955,"About the car, is there anything I need to know? Does it stall, does it make a lot of noise, does it smoke, is there gas in it, anything?"
956,"Aside from how it looks, the car's cool."
957,Positive? Don't get me out on the road and I find out the brake lights don't work.
958,"Hey man, as far as I know, the motherfucker's tip-top."
959,"Good enough, let's go back to the kitchen."
960,"Thank you, Jimmie."
961,"Okay first thing, you two."
962,"(meaning Jules and Vincent) Take the body, stick it in the trunk. Now Jimmie, this looks to be a pretty domesticated house. That would lead me to believe that in the garage or under the sink, you got a bunch of cleaners and"
963,"cleaners and shit like that, am I correct?"
964,Yeah. Exactly. Under the sink.
965,"Good. What I need you two fellas to do is take those cleaning products and clean the inside of the car. And I'm talkin' fast, fast, fast. You need to go in the backseat, scoop up all those little pieces of brain and skull. Get it out of there."
966,"Wipe down the upholstery – now when it comes to upholstery, it don't need to be spic and span, you don't need to eat off in. Give it a good once over. What you need to take care of are the really messy parts. The pools of blood that have collected, you gotta soak that shit up."
967,"But the windows are a different story. Them you really clean. Get the Windex, do a good job. Now Jimmie, we need to raid your linen closet. I need blankets, I need comforters, I need quilts, I need bedspreads. The thicker the better, the darker the better. No whites, can't use 'em. We need to camouflage the interior of the car. We're gonna line the front seat and the backseat and the floor boards with quilts and blankets. If a cop stops us and starts stickin' his big snout in the car, the subterfuge won't last. But at a glance, the car will appear to be normal. Jimmie – lead the way, boys – get to work."
968,"(calling after him) A ""please"" would be nice."
969,Come again?
970,"I said a ""please"" would be nice."
971,"Set is straight, Buster. I'm not here to say ""please.""I'm here to tell you want to do. And if self-preservation is an instinct you possess, you better fuckin' do it and do it quick. I'm here to help. If my help's not appreciated, lotsa luck gentlemen."
972,"It ain't that way, Mr. Wolf. Your help is definitely appreciated."
973,I don't mean any disrespect. I just don't like people barkin' orders at me.
974,"If I'm curt with you, it's because time is a factor. I think fast, I talk fast, and I need you guys to act fast if you want to get out of this. So pretty please, with sugar on top, clean the fuckin' car."
975,(into phone) It's a 1974 Chevy Nova.
976,White.
977,About twenty minutes.
978,Nobody who'll be missed.
979,"How we comin', Jimmie?"
980,"Mr. Wolf, you gotta understand somethin' –"
981,"– Winston, Jimmie – please, Winston."
982,"You gotta understand something, Winston. I want to help you guys out and all, but that's my best linen. It was a wedding present from my Uncle Conrad and Aunt Ginny, and they ain't with us anymore –"
983,"– let me ask you a question, if you don't mind?"
984,Were you Uncle Conrad and Aunt Ginny millionaires?
985,No.
986,"Well, your Uncle Marsellus is. And I'm positive if Uncle Conrad and Aunt Ginny were millionaires, they would've furnished you with a whole bedroom set, which your Uncle Marsellus is more than happy to do."
987,"I like oak myself, that's what's in my bedroom. How 'bout you Jimmie, you an oak man?"
988,Oak's nice.
989,I will never forgive your ass for this shit. This is some fucked-up repugnant shit!
990,"Did you ever hear the philosophy that once a man admits he's wrong, he's immediately forgiven for all wrong-doings?"
991,"Man, get outta my face with that shit! The motherfucker who said that never had to pick up itty-bitty pieces of skull with his fingers on account of your dumb ass."
992,"I got a threshold, Jules. I got a threshold for the abuse I'll take. And you're crossin' it. I'm a race car and you got me in the red. Redline 7000, that's where you are. Just know, it's fuckin' dangerous to be drivin' a race car when it's in the red. It could blow."
993,"You're gettin' ready to blow? I'm a mushroom-cloud-layin' motherfucker! Every time my fingers touch brain I'm ""SUPERFLY T.N.T,"" I'm the ""GUNS OF NAVARONE."" I'm"
994,"what Jimmie Walker usta talk about. In fact, what the fuck am I doin' in the back? You're the motherfucker should be on brain detail. We're tradin'. I'm washin' windows and you're pickin' up this nigger's skull."
995,"Fine job, gentlemen. We may get out of this yet."
996,I can't believe that's the same car.
997,"Well, let's not start suckin' each other's dicks quite yet. Phase one is complete, clean the car, which moves us right along to phase two, clean you two."
998,All the way?
999,To your bare ass.
1000,"Quickly gentlemen, we got about fifteen minutes before Jimmie's better-half comes pulling into the driveway."
1001,This morning air is some chilly shit.
1002,Are you sure this is absolutely necessary?
1003,You know what you two look like?
1004,What?
1005,"Like a couple of guys who just blew off somebody's head. Yes, strippin' off those bloody rags is absolutely necessary. Toss the clothes in Jim's garbage bag."
1006,"Now Jimmie, don't do nothin' stupid like puttin' that out in front of your house for Elmo the garbage man"
1007,to take away.
1008,"Don't worry, we're takin' it with us. Jim, the soap."
1009,"Okay gentlemen, you're both been to County before, I'm sure. Here it comes."
1010,"Goddamn, that water's fuckin' cold!"
1011,"Don't be afraid of the soap, spread it around."
1012,Towel 'em.
1013,"You're dry enough, give 'em their clothes."
1014,"Perfect. Perfect. We couldn't've planned this better. You guys look like... what do they look like, Jimmie?"
1015,Dorks. They look like a couple of dorks.
1016,"Ha ha ha. They're your clothes, motherfucker."
1017,I guess you just gotta know how to wear them.
1018,"Yeah, well, out asses ain't the expert on wearin' dorky shit that your is."
1019,"C'mon, gentlemen, we're laughin' and jokin' our way into prison. Don't make me beg."
1020,"Gentlemen, let's get our rules of the road straight. We're going to a place called Monster Joe's Truck and Tow. Monster Joe and his daughter Raquel are sympathetic to out dilemma. The place is North Hollywood, so a few twist and turns aside, we'll be goin' up Hollywood Way. Now I'll drive the tainted car. Jules, you ride with me."
1021,"Vincent, you follow in my Porsche. Now if we cross the path of any John Q. Laws, nobody does a fuckin' thing 'til I do something."
1022,(to Jules) What did I say?
1023,Don't do shit unless –
1024,– unless what?
1025,Unless you do it first.
1026,Spoken like a true prodigy.
1027,"How 'bout you, Lash Larue? Can you keep your spurs from jingling and jangling?"
1028,"I'm cool, Mr. Wolf. My gun just went off, I dunno how."
1029,Fair enough.
