,dialogue,label
794,Huhng ?,Neither
795,Hey hillbilly .,Neither
796,"You want that gun , Zed ? Pick it up .",Neither
798,You okay ?,Neither
801,"I meant what now , between me and you ?",Neither
803,So we are cool ?,Neither
807,Deal .,Neither
810,"Butch , I wa so worried !",Neither
811,"Honey , grab your radio and your purse and let is go !",Neither
812,But what about all our bag ?,Neither
813,Fuck the bag . We will miss our train if we do not split now .,Neither
814,Is everything well ? Are we in danger ?,Neither
815,"We are cool . In fact , we are super-cool . But we gots to go . I will wait for you outside .",Neither
816,Where did you get this motorcycle ?,Neither
817,"( he kick-starts it ) It is a chopper , baby , hop on .",Neither
818,What happened to my Honda ?,Neither
820,You are hurt ?,Neither
823,"I am sorry , baby-love .",Neither
824,"You were gone so long , I started to think dreadful thought .",Neither
825,"I am sorry I worried you , sweetie . Everything is fine . Hey , how wa breakfast ?",Neither
826,( waterworks drying a little ) It wa good –,Neither
827,– did you get the blueberry pancake ?,Neither
828,"No , they did not have blueberry pancake , I had to get buttermilk – are you sure you are okay ?",Neither
829,"Baby-love , from the moment I left you , this ha been without a doubt the single weirdest day of my entire life . Climb on ang I will tell ya about it .",Neither
831,It is a chopper .,Neither
832,Whose chopper is this ?,Neither
833,Zed is . Who is Zed ?,Neither
834,"Zed is dead , baby , Zed is dead .",Neither
835,"You ever read the Bible , Brett ?",Neither
836,Yes !,Neither
839,Friend of yours ?,Neither
840,"Yeah , Marvin-Vincent-Vincent-Marvin .",Neither
842,I do not understand –,Neither
844,Forget he wa in there with a goddamn hand cannon ?,Neither
845,Did you see that gun he fired at u ? It wa bigger than him .,Neither
846,.357 .,Neither
848,"Yeah , we were lucky .",Neither
850,"Yeah , maybe .",Neither
851,That wa ... divine intervention . You know what divine intervention is ?,Neither
852,"Yeah , I think so . That mean God came down from Heaven and stopped the bullet .",Neither
853,"Yeah , man , that is what is mean . That is exactly what it mean ! God came down from Heaven and stopped the bullet .",Neither
854,I think we should be going now .,Neither
858,"Do you wan na continue this theological discussion in the car , or at the jailhouse with the cop ?",Neither
860,"Okay man , it wa a miracle , can we leave now ?",Neither
862,"If you wan na play blind man , then go walk with a Shepherd . But me , my eye are wide fucking open .",Neither
864,"That is it for me . For here on in , you can consider my as retired .",Neither
865,Jesus Christ !,Neither
866,Do not blaspheme !,Neither
868,I am telling Marsellus today I am through .,Neither
869,"While you are at it , be sure to tell 'im why .",Neither
870,"Do not worry , I will .",Neither
873,"Marvin , what do you make of all this ?",Neither
874,I do not even have an opinion .,Neither
875,"C amon , Marvin . Do you think God came down from Heaven and stopped the bullet ?",Neither
877,I just accidentally shot Marvin in the throat .,Neither
879,I did not mean to do it . I said it wa an accident .,Neither
885,"I know , I know , I wa not thinking about the splatter .",Neither
887,Ca not we just take it to a friendly place ?,Neither
888,"This is the Valley , Vincent . Marsellus do not got no friendly place in the Valley .",Neither
889,"Well , do not look at me , this is your town , Jules .",Neither
891,A buddy of mine in Toluca Lake .,Neither
892,Where is Toluca Lake .,Neither
896,"If he kick u out , whadda we do ?",Neither
897,"Well , we ai not leaving notil we made a couple phone call . But I never want it to reach that pitch . Jimmie is my friend and you do not bust in your friend is house and start telling 'im what is what .",Neither
902,VINCENT,Neither
903,I wa just drying my hand .,Neither
904,You are supposed to wash 'em first .,Neither
905,You watched me wash 'em .,Neither
906,I watched you get 'em wet .,Neither
912,What ?,Neither
915,Jimmie –,Neither
919,You know why you did not see that sign ?,Neither
920,Why ?,Neither
923,Jimmie –,Neither
926,Then I suggest you get to it . Phone is in my bedroom .,Neither
927,"... well , say she come home . Whaddya think she will do ?",Neither
930,"I have grasped that , Jules . All I am doing is contemplating the `` ifs . ''",Neither
933,You sending The Wolf ?,Neither
934,Feel better ?,Neither
936,When she due ?,Neither
937,Jules ...,Neither
938,Expect a call around 10:30 . It is about thirty minute away . I will be there in ten .,Neither
939,"You are Jimmie , right ? This is your house ?",Neither
940,Yeah .,Neither
941,"I am Winston Wolf , I solve problem .",Neither
942,"Good , 'cause we got one .",Neither
943,So I heard . May I come in ?,Neither
944,Please do .,Neither
945,"You must be Jules , which would make you Vincent . Let is get down to brass tack , gentleman . If I wa informed correctly , the clock is ticking , is that right , Jimmie ?",Neither
946,"Your wife , Bonnie ...",Neither
947,"... come home at 9:30 in the AM , is that correct ?",Neither
948,"I wa led to believe if she come home and find u here , she would not appreciate it none too much .",Neither
949,She will not at that .,Neither
951,Jimmie ? Yes .,Neither
953,"Sure , how do you take it ?",Neither
954,"Lotsa cream , lotsa sugar .",Neither
956,"Aside from how it look , the car is cool .",Neither
957,Positive ? Do not get me out on the road and I find out the brake light do not work .,Neither
959,"Good enough , let is go back to the kitchen .",Neither
960,"Thank you , Jimmie .",Neither
961,"Okay first thing , you two .",Neither
962,"( meaning Jules and Vincent ) Take the body , stick it in the trunk . Now Jimmie , this look to be a pretty domesticated house . That would lead me to believe that in the garage or under the sink , you got a bunch of cleaner and",Neither
964,Yeah . Exactly . Under the sink .,Neither
965,"Good . What I need you two fella to do is take those cleaning product and clean the inside of the car . And I am talking fast , fast , fast . You need to go in the backseat , scoop up all those little piece of brain and skull . Get it out of there .",Neither
966,"Wipe down the upholstery – now when it come to upholstery , it do not need to be spic and span , you do not need to eat off in . Give it a good once over . What you need to take care of are the really messy part . The pool of blood that have collected , you got ta soak that shit up .",Neither
967,"But the window are a different story . Them you really clean . Get the Windex , do a good job . Now Jimmie , we need to raid your linen closet . I need blanket , I need comforter , I need quilt , I need bedspread . The thicker the better , the darker the better . No white , can not use 'em . We need to camouflage the interior of the car . We are gon na line the front seat and the backseat and the floor board with quilt and blanket . If a cop stop u and start sticking his big snout in the car , the subterfuge will not last . But at a glance , the car will appear to be normal . Jimmie – lead the way , boy – get to work .",Neither
968,( calling after him ) A `` please '' would be nice .,Neither
969,Come again ?,Neither
970,I said a `` please '' would be nice .,Neither
972,"It ai not that way , Mr. Wolf . Your help is definitely appreciated .",Neither
975,( into phone ) It is a 1974 Chevy Nova .,Neither
976,White .,Neither
977,About twenty minute .,Neither
978,Nobody who will be missed .,Neither
979,"How we coming , Jimmie ?",Neither
980,"Mr. Wolf , you got ta understand something –",Neither
981,"– Winston , Jimmie – please , Winston .",Neither
982,"You got ta understand something , Winston . I want to help you guy out and all , but that is my best linen . It wa a wedding present from my Uncle Conrad and Aunt Ginny , and they ai not with u anymore –",Neither
983,"– let me ask you a question , if you do not mind ?",Neither
984,Were you Uncle Conrad and Aunt Ginny millionaire ?,Neither
985,No .,Neither
986,"Well , your Uncle Marsellus is . And I am positive if Uncle Conrad and Aunt Ginny were millionaire , they would have furnished you with a whole bedroom set , which your Uncle Marsellus is more than happy to do .",Neither
987,"I like oak myself , that is what is in my bedroom . How 'bout you Jimmie , you an oak man ?",Neither
988,Oak is nice .,Neither
990,"Did you ever hear the philosophy that once a man admits he is wrong , he is immediately forgiven for all wrong-doings ?",Neither
992,"I got a threshold , Jules . I got a threshold for the abuse I will take . And you are crossing it . I am a race car and you got me in the red . Redline 7000 , that is where you are . Just know , it is fucking dangerous to be driving a race car when it is in the red . It could blow .",Neither
995,"Fine job , gentleman . We may get out of this yet .",Neither
996,I can not believe that is the same car .,Neither
998,All the way ?,Neither
999,To your bare as .,Neither
1000,"Quickly gentleman , we got about fifteen minute before Jimmie is better-half come pulling into the driveway .",Neither
1001,This morning air is some chilly shit .,Neither
1002,Are you sure this is absolutely necessary ?,Neither
1003,You know what you two look like ?,Neither
1004,What ?,Neither
1007,to take away .,Neither
1008,"Do not worry , we are taking it with u . Jim , the soap .",Neither
1009,"Okay gentleman , you are both been to County before , I am sure . Here it come .",Neither
1011,"Do not be afraid of the soap , spread it around .",Neither
1012,Towel 'em .,Neither
1013,"You are dry enough , give 'em their clothes .",Neither
1014,"Perfect . Perfect . We could not have planned this better . You guy look like ... what do they look like , Jimmie ?",Neither
1015,Dorks . They look like a couple of dork .,Neither
1017,I guess you just got ta know how to wear them .,Neither
1019,"C amon , gentleman , we are laughing and joking our way into prison . Do not make me beg .",Neither
1020,"Gentlemen , let is get our rule of the road straight . We are going to a place called Monster Joe is Truck and Tow . Monster Joe and his daughter Raquel are sympathetic to out dilemma . The place is North Hollywood , so a few twist and turn aside , we will be going up Hollywood Way . Now I will drive the tainted car . Jules , you ride with me .",Neither
1021,"Vincent , you follow in my Porsche . Now if we cross the path of any John Q . Laws , nobody doe a fucking thing notil I do something .",Neither
1022,( to Jules ) What did I say ?,Neither
1024,– unless what ?,Neither
1025,Unless you do it first .,Neither
1026,Spoken like a true prodigy .,Neither
1027,"How 'bout you , Lash Larue ? Can you keep your spur from jingling and jangling ?",Neither
1029,Fair enough .,Neither
1031,We cool ?,Neither
1032,Like it never happened .,Neither
1034,"Hi . You know , if they ever do `` I SPY : THE MOTION PICTURE , '' you guy , I would be great . What is with the outfit . You guy going to a volleyball game ?",Neither
1035,I am taking m'lady out to breakfast . Maybe I can drop you two off . Where do you live ?,Neither
1036,Redondo Beach .,Neither
1037,Inglewood .,Neither
1041,Mr. Wolf .,Neither
1042,I wa a pleasure watching you work .,Neither
1043,Call me Winston .,Neither
1044,"You hear that , young lady ? Respect . You could lean a lot from those two fine specimen . Respect for one is elder show character .",Neither
1045,I have character .,Neither
1048,You know I could go for some breakfast . What to have breakfast with me ?,Neither
1049,Sure .,Neither
1050,Thanks a bunch .,Neither
1052,"Naw , I do not eat pork .",Neither
1053,Are you Jewish ?,Neither
1054,"I ai not Jewish man , I just do not dig on swine .",Neither
1055,Why not ?,Neither
1057,Sausages taste good . Pork chop taste good .,Neither
1059,How about dog ? Dogs eat their own feces .,Neither
1060,I do not eat dog either .,Neither
1061,"Yes , but do you consider a dog to be a filthy animal ?",Neither
1063,"So by that rationale , if a pig had a better personality , he is cease to be a filthy animal ?",Neither
1065,Good for you . Lighten up a little . You been sitting there all quiet .,Neither
1066,I just been sitting here thinking .,Neither
1067,( mouthful of food ) About what ?,Neither
1068,The miracle we witnessed .,Neither
1069,The miracle you witnessed . I witnessed a freak occurrence .,Neither
1070,Do you know that a miracle is ?,Neither
1071,An act of God .,Neither
1072,What is an act of God ?,Neither
1073,"I guess it is when God make the impossible possible . And I am sorry Jules , but I do not think what happened this morning qualifies .",Neither
1075,But why ?,Neither
1078,"The life , most definitely .",Neither
1079,Garcon ! Coffee !,Neither
1082,"What do you mean , walk the earth ?",Neither
1083,"You know , like Caine in `` KUNG FU . '' Just walk from town to town , meet people , get in adventure .",Neither
1084,How long do you intend to walk the earth ?,Neither
1087,"If it take forever , I will wait forever .",Neither
1088,So you decided to be a bum ?,Neither
1089,"I will just be Jules , Vincent – no more , no le .",Neither
1092,– what happened wa peculiar – no doubt about it – but it wa not water into wine .,Neither
1093,"All shape and size , Vince .",Neither
1095,"If you find my answer frightening , Vincent , you should cease asking scary question .",Neither
1099,"Customers stay seated , waitress on the floor .",Neither
1102,"On the floor or I will cook you as , comprende ?",Neither
1103,"I am the manager here , there is no problem , no problem at all –",Neither
1106,"I do not know , Honey Bunny . He look like the hero type to me !",Neither
1107,Do not take any chance . Execute him !,Neither
1108,Please do not ! I am not a hero . I am just a coffee shop manager . Take anything you want .,Neither
1109,Tell everyone to cooperate and it will be all over .,Neither
1110,Everybody just be calm and cooperate with them and this will be all over soon !,Neither
1112,"Okay people , I am going to go 'round and collect your wallet . Do not talk , just toss 'em in the bag . We clear ?",Neither
1113,In the bag .,Neither
1114,What is in that ?,Neither
1115,My bos ' dirty laundry .,Neither
1117,When he want it clean .,Neither
1119,"Funny , I have been thinking the same thing .",Neither
1120,Open it up .,Neither
1121,'Fraid I can not do that .,Neither
1122,I did not hear you .,Neither
1123,"Yes , you did .",Neither
1124,What is going on ?,Neither
1125,Looks like we got a vigilante in our midst .,Neither
1132,... two ... three .,Neither
1133,You win .,Neither
1134,"It is all yours , Ringo .",Neither
1135,Open it .,Neither
1136,What is it ? What is it ?,Neither
1141,Let him go !,Neither
1144,Promise her .,Neither
1145,I promise .,Neither
1148,What is her name ?,Neither
1149,Yolanda .,Neither
1150,"C amon Yolanda , what is Fonzie like ?",Neither
1151,"( through tear , unsure ) He is cool ?",Neither
1152,"Correct-amundo ! And that is what we are gon na be , we are gon na be cool .",Neither
1154,One ... two ... three .,Neither
1155,"Okay , now let him go !",Neither
1158,That seems to be the situation . Now I do not want that and you do not want that and Ringo here do not want that . So let is see what we can do .,Neither
1160,"It is cool , Vincent ! It is cool ! Do not do a goddamn thing . Yolanda , it is cool baby , nothin is changed . We are still just talking .",Neither
1161,( to Pumpkin ) Tell her we are still cool .,Neither
1162,"It is cool , Honey Bunny , we are still cool .",Neither
1165,Check .,Neither
1168,"Just hang in there , baby , you are doing ' great , Ringo is proud of you and so am I . It is almost over .",Neither
1169,Now I want you to go in that bag and find my wallet .,Neither
1170,Which one is it ?,Neither
1173,About fifteen hundred dollar .,Neither
1174,"Put it in your pocket , it is yours . Now with the rest of them wallet and the register , that make this a pretty successful little score .",Neither
1177,What ?,Neither
1179,Not regularly .,Neither
1182,"And if you ever heard it , it meant your as . I never really questioned what it meant . I thought it wa just a cold- blooded thing to say to a motherfucker 'fore you popped a cap in his as . But I saw some shit this morning made me think twice . Now I am thinking , it could mean you are the evil man . And I am the righteous man . And Mr. .45 here , he is the shepherd protecting my righteous as in the valley of darkness . Or is could by you are the righteous man and I am the shepherd and it is the world that is evil and selfish .",Neither
1184,( to himself ) It is cold .,Neither
1185,I think we oughta leave now .,Neither
1186,That is probably a good idea .,Neither
